,cell_line_id,part1_spearmanr,pca_spearmanr,racs_spearmanr
408,907300,0.8384009905566241,0.8228055123753997,0.8201804565391765
409,908119,0.872339448825714,0.8903353089541008,0.8900545950487525
410,908152,0.8038749249598389,0.8001752503467995,0.803250587235076
411,908156,0.8672112996390121,0.8765867444500024,0.8767458927597827
412,908158,0.9070373521058158,0.9201839703432325,0.9188124779796207
413,908464,,,
414,908467,0.8788688899642892,0.8817274816368625,0.8802424227186674
415,908469,0.8533281505656118,0.861110830336979,0.8614336683900107
416,908473,0.8074697562093588,0.8117602387147376,0.8100411996213719
417,909702,0.9017406626265951,0.9109446625821884,0.9109802845852418
418,909740,0.9084193804624946,0.9080388538889711,0.90827846018197
419,909762,,,
420,910695,0.886013381204059,0.8981182996841618,0.8985772825076587
421,910780,0.8787008790997418,0.8905771498756897,0.890085063530625
422,910920,0.8447944736454357,0.8700276034833003,0.8695011354800356
423,910932,0.8929195144837255,0.9061197133007681,0.9056954780958528
424,910937,0.8699758728319695,0.8712955987911049,0.8704434039367687
425,924106,0.8772753533425919,0.8863223347336258,0.8868152235765745
426,924187,0.8704238930485763,0.8880725820319737,0.8873717269244285
427,924189,,,
428,924244,0.9095587914178713,0.9064593560084674,0.9071523339583617
429,946353,0.8413797062463811,0.8520624405500015,0.8541530724258373
430,946357,0.894903661433814,0.8756451213981203,0.8748349516021422
431,949158,0.8480254786721031,0.8807392456444973,0.8800765161001269
432,949167,0.8750610065021532,0.8999333741199588,0.8991800342116519
433,949179,0.85890823608769,0.87147397077686,0.8756939653833306
434,1240166,0.8378321427361312,0.8328855410844612,0.8262891704067639
435,1303900,0.859158729745469,0.8828084213932111,0.8810074736851422
436,1327775,0.8870959173412597,0.9106153873871664,0.910970594763339
437,1327776,,,
438,1330986,,,
439,753533,0.9271920679342383,0.9265369204982303,0.9238589163389511
440,909732,0.9065867449375827,0.9157017871077349,0.9178710492841716
441,909759,0.8826255676239758,0.8982009549335193,0.8994213843086692
442,910779,0.8932262237801138,0.8937958061799921,0.8941324339217621
443,946354,0.8861597305246646,0.890823943842849,0.8921482054130874
444,949092,,,
445,906807,0.8613161956614236,0.8855884117249277,0.8872524643628512
446,908146,0.8477637344609651,0.8437040062658803,0.8457530963942568
447,688022,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
448,924241,,,
449,683667,0.8320719913018375,0.8530911162904607,0.8480807219941252
450,684052,0.8656283245275503,0.8287261165524238,0.8369525934557687
451,687452,0.9049512491806739,0.9022642176016731,0.8954039488216324
452,687455,0.8061314823091429,0.7847874758583085,0.7678250054749155
453,687457,0.7651864168504255,0.7932566279757006,0.8020603884281134
454,687459,0.9174614978899932,0.9212563916676656,0.9289730256033152
