cell_line_id,top_10_drug_ids
908449,"1007,201,268,1494,1004,135,194,83,53,13"
908450,"268,83,53,194,86,163,235,331,45,124"
908451,"1004,1003,1060,283,135,268,11,208,1057,32"
908452,"104,268,11,53,83,87,60,194,9,116"
908454,"104,1494,1003,180,201,3,1007,140,1248,1"
908457,"104,268,1372,283,194,11,83,200,252,5"
908458,"1248,1004,1372,346,328,1015,1218,1527,1091,102"
908471,"268,1004,346,1248,87,60,272,299,274,123"
908480,"1003,268,1248,226,200,23"
908481,"268,194,200,328,273,272,299,274,310,29"
908483,"1248,226,1004,11,208,87,1008,60,32,29"
909194,"268,200,252,272,136,88,299,273,219,8"
909248,"104,1372,1248,1003,1494,140,1004,180,1060,1"
909249,"3,140,180,208,83,346,268,200,194,32"
909250,"104,201,268,83,135,1057,51,200,194,5"
909252,"1248,283,1494,226,180,268,197,346,140,13"
909253,"180,1248,268,1192,1218,272,1050,1012,1239,121"
909256,"3,104,1494,201,140,180,11,283,346,8"
909260,"1248,1003,268,208,226,87,200,346,11,6"
909262,"1494,1248,268,1008,346,53,200,273,272,8"
909696,"1248,1494,1003,283,268,1004,133,140,226,18"
909697,"268,140,135,1248,11,346,200,194,208,13"
909698,"201,104,140,1007,135,11,1494,1003,268,18"
909701,"201,135,283,268,1494,200,140,194,11,20"
909703,"283,1248,346,226,1494,180,268,135,140,20"
909711,"268,1248,83,4"
909712,"104,1031,1248,1494,135,194,1057,83,53,20"
909713,"104,1372,3,180,11,182,1060,1373,1242,2"
909715,"201,283,135,197,140,346,180,11,194,27"
909717,"1007,1248,194,11,87,208,1057,53,83,6"
909720,"1007,201,104,140,1494,1003,3,135,180,26"
909722,"1248,1372,1060,1498,1057,1014,1526,1011,1242,116"
909723,"1248,1060,1372,1373,1014,1015,1036,245,29"
909730,"1248,1494,1003,268,1004,1008,200,87,135,6"
909731,"1248,135,201,1003,1494,268,1004,1261,11,18"
909742,"268,135,281,35,346,328,53,302,252,29"
909743,"1494,1248,268,140,135,200,346,194,208,32"
909754,"104,1026,56,151,1025,19"
909756,"3,201,104,135,1494,140,180,1372,83,13"
909758,"201,268,11,1016,180,194,1057,135,53,8"
909769,"3,268,180,11,1057,53,87,1026,60,8"
909771,"1248,268,282,328,194,200,182,273,272,152"
909773,"1248,201,1004,346,283,1008,140,180,268,105"
909777,"1248,1004,346,1008,268,1057,194,328,182,25"
909785,"1248,1494,1004,1003,1016,180,1008,1057,268,19"
909974,"163,200,56,154,19"
909975,"180,140,268,11,87,60,83,194,200,5"
909976,"1248,180,87,208,60,194,200,136,9,121"
910401,"1016,104,1004,3,1248,180,268,140,1057,103"
910544,"1004,1003,1248,346,268,1016,1031,1008,1057,32"
910545,"135,104,201,283,1003,1004,140,1248,268,149"
910546,"201,1007,104,135,11,1004,180,1372,1003,103"
910554,"1069,110,19"
910566,"201,1248,283,135,194,200,346,83,87,32"
910567,"1003,1248,200,1011,268,194,133,136,86,30"
910568,"1007,140,180,1248,1004,155,1003,1016,135,102"
910569,"1248,1008,87,346,194,53,200,328,83,18"
910687,"1004,1007,1494,140,1011,1003,268,135,1248,1"
910688,"104,1248,283,1494,140,87,11,268,60,20"
910691,"283,268,1004,1248,1008,302,1057,194,200,8"
910692,"135,200,136,194,328,190,184,182,235,15"
910697,"104,201,268,140,135,180,11,87,194,6"
910700,"1007,1003,180,194,200,1006,1062,9,299,101"
910703,"1248,268,283,346,180,200,208,273,272,27"
910706,"104,1004,201,283,1494,1003,1007,180,140,1"
910707,"1248,283,346,140,226,268,51,11,83,8"
910710,"1004,1003,1494,1248,1007,51,268,1013,226,14"
910861,"1004,268,346,1057,328,260,302,273,299,27"
910905,"1372,1060,1166,1014,1498,1526,184,1015,157,152"
910906,"201,180,346,140,1248,226,200,268,11,8"
910910,26
910911,"268,180,1372,194,182,1377,1527,157,1239,121"
910918,"180,346,11,194,208,268,328,200,53,8"
910919,"268,1494,1248,208,135,194,200,346,328,29"
910921,"104,201,1003,180,135,268,1372,1004,11,8"
910930,"35,268,11,208,346,135,53,87,281,8"
910933,"1003,268,1248,135,194,328,182,302,300,13"
